@relation 'ALL_AML_gcol_class.train.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-401,403-472,474-478,480-744,746-1084,1086-1189,1191-1246,1248-1570,1572-1614,1616-1644,1646-1685,1687-1747,1749-1774,1776-1822,1824-1868,1870-1960,1962-1983,1985-2051,2053-2061,2063-2126,2128-2182,2184-2207,2209-2228,2230-2288,2290-2294,2296-2342,2344-2381,2383-2582,2584-2699,2701-2849,2851-2996,2998-3036,3038-3198,3200-3260,3262-3600,3602-3787,3789-3992,3994-4117,4119-4136,4138-4170,4172-4229,4231-4268,4270-4329,4331-4475,4477-4522,4524-4787,4789-4913,4915-4979,4981-5131,5133-5194,5196-5441,5443-5470,5472-5533,5535-5712,5714-6140,6143-6221,6223-6313,6315-6316,6318-6411,6413-6455,6457-6479,6481-6642,6644-6741,6743,6745-6746,6748-6795,6797-6914,6916-7059,7061-7070'

@attribute D49950_at numeric
@attribute D63874_at numeric
@attribute D63880_at numeric
@attribute HG1612-HT1612_at numeric
@attribute J05243_at numeric
@attribute L08246_at numeric
@attribute L13278_at numeric
@attribute L47738_at numeric
@attribute M11147_at numeric
@attribute M13792_at numeric
@attribute M16038_at numeric
@attribute M21551_rna1_at numeric
@attribute M23197_at numeric
@attribute M27891_at numeric
@attribute M31303_rna1_at numeric
@attribute M55150_at numeric
@attribute M57710_at numeric
@attribute M62762_at numeric
@attribute M63138_at numeric
@attribute M69043_at numeric
@attribute M80254_at numeric
@attribute M81933_at numeric
@attribute M84526_at numeric
@attribute M91432_at numeric
@attribute M92287_at numeric
@attribute M96326_rna1_at numeric
@attribute S50223_at numeric
@attribute U05259_rna1_at numeric
@attribute U12471_cds1_at numeric
@attribute U20998_at numeric
@attribute U32944_at numeric
@attribute U35451_at numeric
@attribute U46751_at numeric
@attribute U50136_rna1_at numeric
@attribute U72342_at numeric
@attribute U82759_at numeric
@attribute X04085_rna1_at numeric
@attribute X15949_at numeric
@attribute X17042_at numeric
@attribute X52142_at numeric
@attribute X56411_rna1_at numeric
@attribute X59417_at numeric
@attribute X63469_at numeric
@attribute X74262_at numeric
@attribute X76648_at numeric
@attribute X95735_at numeric
@attribute Y08612_at numeric
@attribute Y12670_at numeric
@attribute Z69881_at numeric
@attribute D38073_at numeric
@attribute Z15115_at numeric
@attribute AF012024_s_at numeric
@attribute D26156_s_at numeric
@attribute U22376_cds2_s_at numeric
@attribute M28130_rna1_s_at numeric
@attribute Y00787_s_at numeric
@attribute M31211_s_at numeric
@attribute M81695_s_at numeric
@attribute M83652_s_at numeric
@attribute U09087_s_at numeric
@attribute U26266_s_at numeric
@attribute X85116_rna1_s_at numeric
@attribute X97267_rna1_s_at numeric
@attribute L49229_f_at numeric
@attribute M19045_f_at numeric
@attribute X14008_rna1_f_at numeric
@attribute M31523_at numeric
@attribute M28170_at numeric
@attribute U29175_at numeric
@attribute Class {ALL,AML}

@data
75,4157,556,3767,610,543,193,571,5418,3221,365,178,261,303,3828,654,20,835,1410,1489,20,20,20,767,4778,782,268,9326,160,1753,3349,408,1298,1124,978,393,1057,277,177,107,178,3016,460,1372,1361,298,517,600,1766,994,8444,257,1595,3105,292,333,601,695,20,358,289,162,2323,337,382,557,1320,397,1582,ALL
129,11557,476,2890,927,2972,31,2893,16000,10954,624,336,101,1358,3021,1283,2171,3072,2325,6084,109,20,20,814,2700,368,346,895,134,1602,1002,633,1379,1062,324,118,1395,104,3460,20,183,3424,151,1184,237,307,351,337,2015,539,1920,46,822,1118,2062,5345,435,812,364,82,288,169,1238,131,3606,2716,898,20,624,ALL
44,12125,498,5996,1697,485,198,2723,6156,16000,108,345,309,254,7247,1286,20,609,2789,2281,20,124,20,1547,4926,1268,804,628,167,2761,2089,912,1496,1398,855,667,823,91,416,20,166,7724,230,2221,1240,309,214,574,3556,1441,3118,139,1452,4543,20,301,547,810,20,263,447,20,1982,529,2997,1716,597,183,753,ALL
218,8484,1211,2810,425,740,91,731,7070,5364,873,374,288,20,3780,915,22,935,1132,2178,20,167,20,831,5403,882,452,5314,104,1486,1625,304,1401,942,369,410,1655,403,392,190,131,3821,314,1051,992,693,432,716,828,680,4261,168,654,5467,20,241,472,599,34,218,424,199,3947,422,1331,1143,1644,363,743,ALL
110,9575,820,2206,529,2453,194,649,9017,2837,686,321,395,20,3563,732,244,1665,1269,1094,139,114,290,1423,3440,949,476,5354,145,2298,3502,398,1894,928,653,119,2000,416,7972,361,141,5216,632,1370,1233,713,596,524,1496,950,3425,94,1011,3469,138,93,661,282,218,186,364,334,3324,354,3069,2917,1322,251,626,ALL
33,5315,485,3881,1682,375,96,1858,6221,16000,302,44,58,1168,4890,691,108,499,1854,1513,46,56,20,430,3179,910,256,282,81,1013,316,506,528,842,449,147,537,46,597,26,151,4194,181,1306,401,247,220,270,2606,1258,1790,197,1584,3309,23,215,337,711,401,209,320,117,1710,327,2850,3300,787,74,1157,ALL
115,6270,734,3723,386,961,178,280,4746,6067,325,359,84,20,3330,853,20,764,2735,2866,20,203,20,764,3978,826,208,5146,122,898,1530,357,1747,1066,638,735,6133,267,403,191,245,5528,213,1339,821,52,196,463,473,509,3810,188,578,3936,107,159,309,556,255,144,381,378,1488,354,1201,830,946,280,552,ALL
32,4566,223,4072,629,404,112,1716,7881,3103,244,364,251,20,4213,1238,674,1323,1962,2129,20,20,20,752,3293,1302,310,4048,335,1586,1042,134,1514,1668,361,248,775,314,140,179,77,2073,227,655,1012,20,436,689,2067,331,6153,61,1024,4745,20,455,263,1281,20,167,53,571,2215,232,1947,1683,1917,235,572,ALL
20,10061,686,7439,2760,783,198,2388,9431,15235,273,333,155,336,7230,822,103,1741,2900,3862,94,124,20,1777,7324,1337,640,423,131,2334,2286,982,803,966,576,258,633,210,848,240,205,7782,362,3593,929,20,513,262,4461,1974,3303,269,1297,4081,104,445,978,746,521,385,869,20,3420,568,2629,1965,1440,24,1776,ALL
54,7194,721,4791,1722,1288,20,913,5092,8982,144,271,167,498,5052,885,252,1188,1855,1974,45,89,20,426,2676,82,152,585,264,878,934,613,1939,1175,99,409,463,97,1094,96,119,5204,47,1058,330,492,114,167,1777,664,1329,99,971,1658,20,522,752,513,20,146,403,176,723,20,2148,1781,442,20,756,ALL
38,7021,551,4406,1587,733,36,2147,6027,8630,34,267,140,20,3352,680,20,1870,1471,2561,40,46,20,472,6134,737,441,147,195,2016,282,745,587,626,686,306,628,27,1343,69,107,6541,225,953,512,20,492,174,2744,884,2525,132,1913,2853,189,1278,897,461,20,89,526,139,703,20,969,833,617,20,1972,ALL
20,4036,198,1379,169,2095,20,140,15280,1695,399,20,287,107,2290,412,988,1030,1763,7901,267,44,41,76,2056,1296,90,2504,104,426,277,20,1347,747,20,20,294,20,5252,20,20,846,43,209,90,408,119,258,291,314,1277,54,329,551,1855,3684,334,494,252,37,60,530,672,20,3939,4009,474,84,219,ALL
103,12920,550,6964,719,1405,170,556,6183,4765,281,268,152,20,4751,548,20,1482,786,3602,70,192,20,920,10669,160,545,5075,150,2151,2069,810,1489,706,1354,87,1220,588,2408,269,153,7743,495,1624,827,724,393,201,3578,1991,6216,89,1593,4746,20,116,668,315,20,283,673,182,3260,207,210,93,1969,87,1322,ALL
72,6555,694,2056,859,742,188,1483,13077,3529,589,20,145,820,2346,1157,389,892,2337,1204,136,77,20,606,1912,838,570,155,135,2263,1613,404,1784,864,901,188,662,307,2525,159,206,1756,442,2050,679,360,416,180,1706,1062,3382,199,1011,1534,20,94,265,1030,493,179,308,452,5964,290,3633,3576,686,155,732,ALL
158,11506,1287,3688,661,1718,217,1505,8506,9000,854,64,81,76,3347,387,20,1306,2035,2859,135,96,20,1417,9211,520,571,5767,128,2901,2952,547,2286,515,905,99,1990,747,2133,499,56,7288,522,1995,1426,938,651,625,2041,1030,5831,147,1763,5311,91,29,898,333,114,314,929,304,6147,513,735,637,2572,371,1636,ALL
28,11089,475,2976,1034,623,240,904,3720,10227,289,160,202,36,3207,707,20,593,1910,1259,20,120,20,869,3345,478,235,3649,182,2523,3110,72,944,825,909,67,1143,393,1232,260,225,6084,467,1625,1578,848,278,330,3847,675,5617,182,2065,4326,73,38,666,426,20,106,698,540,3774,190,637,635,1439,360,2076,ALL
117,13775,883,3182,447,1016,254,643,12676,8469,534,363,286,375,6633,1822,20,2376,4215,2689,184,98,20,2031,2360,20,352,218,227,3297,2591,665,1888,1837,1024,20,2474,822,1150,214,234,2455,485,3139,660,926,623,784,8578,1731,3714,358,1778,7155,20,282,374,588,78,335,1060,1263,3511,214,973,817,989,20,917,ALL
99,4845,1281,2209,252,1198,32,669,9783,2091,540,333,141,22,2143,738,944,542,711,2753,20,89,20,954,1316,20,20,3339,157,954,820,726,2111,883,171,102,220,515,1232,20,255,1273,472,882,541,390,198,314,111,762,1616,20,764,1178,41,136,516,666,20,119,358,203,1654,20,1263,1631,1186,195,453,ALL
101,8499,256,2580,1041,1010,200,1137,4453,2273,44,279,155,20,2291,907,343,809,1346,815,20,82,20,532,2492,45,84,2696,290,1146,1116,95,1983,1309,493,432,1271,339,1519,184,82,6482,156,1459,1225,615,251,146,576,800,4692,65,1448,3427,20,20,473,250,20,91,310,1074,2352,45,694,846,1224,285,1660,ALL
22,13830,568,10857,1717,1969,338,3810,13988,12217,616,117,180,205,5933,860,950,2475,2273,2233,20,120,20,3192,6464,20,867,8148,70,4700,5908,767,2731,817,1224,359,4004,748,180,326,308,7629,629,4253,3081,827,847,636,5796,1158,11241,128,2191,6870,242,119,1487,284,20,268,1047,1071,4281,312,888,883,4555,470,2174,ALL
48,16000,454,1535,604,1377,119,1631,2900,2973,447,152,139,20,2306,92,64,1514,545,5193,34,161,20,896,524,343,323,2805,39,2914,1143,600,1962,383,353,149,1781,201,1912,122,183,5746,256,768,1620,68,689,371,20,1185,9114,123,768,9177,184,118,688,137,82,20,20,675,20,37,447,560,2707,514,3707,ALL
74,9604,43,4624,304,791,20,857,6074,1743,239,265,124,20,2131,686,88,1977,949,1026,20,111,20,70,3253,678,241,5397,126,1000,108,247,1739,825,128,160,350,48,354,20,39,699,104,176,532,122,290,180,1628,141,2572,20,1323,4836,155,206,143,401,20,30,20,177,1075,184,527,886,274,95,295,ALL
43,5479,613,3710,397,596,85,813,3729,12805,20,20,108,425,4677,803,20,672,1297,740,30,22,20,321,3796,1177,493,870,74,1122,146,442,585,731,136,366,431,20,178,142,113,2443,172,862,303,20,199,780,1962,767,1601,98,1992,3085,148,146,376,613,121,334,395,417,834,93,1820,1525,590,53,1377,ALL
168,12848,298,5079,642,868,191,899,6023,5981,515,392,102,20,3182,803,20,1235,1343,2785,209,20,20,992,4093,734,502,5955,205,2298,2457,621,1571,899,740,770,3970,598,1687,277,232,3840,494,1409,1463,222,569,655,1306,1145,6110,93,1210,5815,20,185,531,513,20,204,651,300,1826,424,71,108,1823,418,1456,ALL
20,5613,231,2302,295,635,20,223,13278,2425,50,305,203,20,2910,842,560,933,1371,14011,20,113,20,363,1689,502,301,5070,144,498,1081,116,1395,1171,20,267,747,163,3711,20,95,3878,162,489,416,700,292,402,892,521,2242,153,738,1872,4271,9270,481,439,20,81,166,559,1168,77,515,512,553,391,404,ALL
117,10573,306,2106,1122,827,20,759,4718,3323,268,330,128,66,2648,514,43,1114,1330,2381,20,52,20,636,5204,29,101,8219,98,753,1480,96,1437,805,295,59,773,169,1750,105,297,3262,348,716,1134,433,424,190,2452,700,3074,121,2143,3265,29,183,647,416,20,109,190,342,4314,20,304,441,1909,495,1982,ALL
20,4578,433,3307,209,190,79,899,4110,2617,483,64,84,34,2818,561,20,20,2127,569,20,20,20,419,2581,176,20,4184,143,672,1283,291,990,1286,220,20,115,104,291,109,291,1810,217,500,477,20,517,273,760,456,5374,90,1245,2877,20,150,145,430,20,139,201,20,1813,170,2331,1976,1076,219,949,ALL
355,5817,226,624,206,3127,20,20,12406,911,1674,405,1450,1537,1647,1811,394,3236,5587,13338,59,179,4830,263,498,13464,56,711,293,407,427,208,4719,2402,20,652,5878,35,8518,20,121,782,181,279,110,2947,200,1807,784,238,2271,28,302,1126,3693,8054,153,1702,1338,34,282,727,270,20,4259,4192,299,20,454,AML
295,5407,20,680,20,853,20,218,7855,2551,735,327,781,1481,2195,1406,72,1125,3909,2306,72,214,20,226,165,1233,168,654,322,529,288,57,1106,2137,117,262,2140,79,3628,20,33,490,74,336,209,1050,86,1038,406,382,1082,50,201,880,20,216,20,1137,565,48,43,1639,1084,38,2517,2327,389,67,391,AML
283,4490,410,1031,20,6159,22,20,16000,1297,2727,485,970,16000,1885,1707,5940,4647,12358,16000,692,179,4573,87,1309,7955,20,20,337,697,295,214,5868,3965,259,618,5162,71,10603,20,20,1648,202,194,358,4863,209,1051,118,245,2007,29,667,473,11517,16000,88,2014,2892,74,64,1096,20,20,15519,15761,126,20,412,AML
311,3763,185,1687,87,5503,20,20,16000,753,2399,415,408,13296,1359,2072,6247,3808,7125,12115,672,330,6759,183,852,9933,20,218,417,786,224,149,6903,2539,20,805,2887,20,8479,20,81,528,20,130,254,2612,253,1064,43,267,802,98,697,186,12979,16000,139,2683,157,52,20,3397,183,93,13221,13087,190,20,393,AML
70,6604,118,1367,71,2083,20,201,16000,2708,784,582,275,1661,1291,1753,6530,3594,2275,5902,307,407,1569,111,1484,2676,62,251,271,845,230,195,7061,2286,20,673,4681,64,1285,20,94,99,20,51,550,1671,199,2538,214,342,939,41,721,680,5072,10043,75,974,20,33,20,4465,664,20,2702,1663,275,20,286,AML
297,6978,279,2194,102,6718,20,449,16000,2493,679,456,316,1073,2176,1929,159,2702,4214,13895,373,313,20,323,1283,548,107,20,238,824,384,209,7113,1641,32,822,3077,64,7858,20,20,1203,28,596,214,2224,292,733,172,832,1238,43,893,794,10476,15202,300,1147,1179,91,151,2274,739,20,2475,1953,353,20,429,AML
190,4206,277,460,237,1766,20,65,11012,487,1305,259,555,6962,1486,1647,5824,1736,2558,1908,550,243,6569,125,1525,16000,150,412,217,1174,179,29,3717,2545,173,1137,6000,35,8859,20,20,1561,178,309,514,3348,151,1296,371,294,967,50,624,1312,1653,3104,237,478,868,58,66,2195,574,20,3605,4063,279,35,314,AML
326,4642,136,1874,238,4915,20,172,16000,769,2694,487,1130,14555,730,2112,7142,3553,8793,11990,425,229,7372,158,811,9994,20,343,213,440,651,160,11618,3818,118,1050,5065,20,11003,20,84,1628,20,313,147,6218,173,647,292,148,1365,20,388,485,2971,6506,100,2279,1537,20,20,478,20,60,6268,6612,250,20,208,AML
197,3998,321,767,57,2056,60,239,12276,1614,1028,554,1338,7238,3719,1555,499,3255,4630,9866,82,132,4833,295,1032,7791,31,272,283,651,469,223,1262,2943,20,1157,7260,23,5849,20,20,1784,115,275,159,1548,119,1085,248,309,1568,45,432,408,688,2096,192,754,1675,61,20,983,788,56,7035,7821,381,20,385,AML
259,2793,283,2856,628,4136,34,683,16000,4148,2680,462,774,12339,1985,1514,1853,4249,7373,10899,619,230,141,368,1024,976,210,306,264,660,328,293,3088,2535,249,1083,2027,59,3259,20,127,1214,136,311,165,3297,185,1467,618,259,1843,68,706,1047,7108,12715,339,978,657,50,192,1017,2009,88,7969,5778,671,20,688,AML
100,2823,151,2205,20,4126,20,153,16000,1446,3223,672,443,3654,1528,2693,6704,1871,2771,14090,864,282,2000,110,1827,4108,20,20,304,580,133,73,5749,1373,380,1099,3072,33,8855,20,47,1583,63,20,307,3482,172,1513,20,256,936,20,736,335,13176,16000,59,1690,562,20,20,1999,146,20,13195,13076,200,20,248,AML
